year,month,value
1871,1,-6.203333333333334
1871,2,0.24666666666666703
1871,3,-0.726666666666667
1871,4,0.019999999999998685
1871,5,-1.7199999999999989
1871,6,-4.006666666666664
1871,7,-0.6066666666666656
1871,8,-1.3133333333333326
1871,9,0.9333333333333353
1871,10,-3.6899999999999995
1871,11,-4.606666666666667
1871,12,-8.243333333333334
1872,1,0.09666666666666668
1872,2,0.24666666666666703
1872,3,0.07333333333333303
1872,4,0.11999999999999833
1872,5,-1.92
1872,6,-1.3066666666666649
1872,7,-0.8066666666666649
1872,8,-2.8133333333333326
1872,9,-0.466666666666665
1872,10,-0.28999999999999915
1872,11,0.8933333333333326
1872,12,2.756666666666667
1873,1,1.5966666666666667
1873,2,-1.453333333333333
1873,3,1.2733333333333332
1873,4,-2.0800000000000014
1873,5,-3.3199999999999994
1873,6,-0.6066666666666638
1873,7,0.3933333333333344
1873,8,-0.21333333333333293
1873,9,-1.266666666666664
1873,10,-1.6899999999999995
1873,11,-0.9066666666666672
1873,12,-3.6433333333333335
1874,1,-0.7033333333333331
1874,2,-1.8533333333333328
1874,3,-2.126666666666667
1874,4,0.5199999999999987
1874,5,-4.619999999999999
1874,6,0.09333333333333549
1874,7,0.7933333333333348
1874,8,-2.6133333333333333
1874,9,0.8333333333333357
1874,10,-0.589999999999999
1874,11,-3.706666666666667
1874,12,-4.343333333333334
1875,1,0.9966666666666666
1875,2,-4.653333333333332
1875,3,-3.226666666666667
1875,4,-1.3800000000000017
1875,5,1.1800000000000015
1875,6,-0.006666666666664156
1875,7,-2.306666666666665
1875,8,-0.11333333333333329
1875,9,0.3333333333333357
1875,10,-2.9899999999999993
1875,11,-1.9066666666666672
1875,12,-4.743333333333334
1876,1,-1.9033333333333333
1876,2,0.646666666666667
1876,3,-0.8266666666666669
1876,4,-0.580000000000001
1876,5,-4.419999999999999
1876,6,-0.6066666666666638
1876,7,-0.6066666666666656
1876,8,-0.8133333333333326
1876,9,-2.0666666666666647
1876,10,0.5100000000000007
1876,11,-2.206666666666667
1876,12,2.0566666666666666
1877,1,1.9966666666666666
1877,2,1.446666666666667
1877,3,-2.626666666666667
1877,4,-0.8800000000000017
1877,5,-3.3199999999999994
1877,6,2.0933333333333355
1877,7,-1.9066666666666663
1877,8,-0.013333333333333641
1877,9,-3.0666666666666647
1877,10,-3.789999999999999
1877,11,0.39333333333333265
1877,12,-1.8433333333333335
1878,1,-3.503333333333333
1878,2,-0.1533333333333331
1878,3,-2.526666666666667
1878,4,-0.9800000000000013
1878,5,0.4800000000000004
1878,6,-0.8066666666666649
1878,7,-2.306666666666665
1878,8,-1.3133333333333326
1878,9,-1.266666666666664
1878,10,-0.589999999999999
1878,11,-2.6066666666666674
1878,12,-4.1433333333333335
1879,1,-0.7033333333333331
1879,2,0.746666666666667
1879,3,-0.22666666666666702
1879,4,-2.3800000000000012
1879,5,-5.02
1879,6,-0.20666666666666345
1879,7,-3.706666666666665
1879,8,0.28666666666666707
1879,9,-1.0666666666666647
1879,10,-3.289999999999999
1879,11,-4.206666666666667
1879,12,-6.6433333333333335
1880,1,-5.303333333333334
1880,2,0.846666666666667
1880,3,1.1733333333333331
1880,4,0.21999999999999886
1880,5,-2.5199999999999996
1880,6,-2.106666666666664
1880,7,-0.30666666666666487
1880,8,-2.1133333333333333
1880,9,-0.5666666666666647
1880,10,-0.9899999999999993
1880,11,-0.3066666666666671
1880,12,2.6566666666666663
1881,1,-4.203333333333333
1881,2,0.946666666666667
1881,3,0.2733333333333332
1881,4,-1.1800000000000015
1881,5,-1.92
1881,6,-1.5066666666666642
1881,7,1.0933333333333337
1881,8,-0.6133333333333333
1881,9,-2.1666666666666643
1881,10,-4.989999999999999
1881,11,0.8933333333333326
1881,12,-1.2433333333333334
1882,1,-0.30333333333333323
1882,2,-1.053333333333333
1882,3,0.7733333333333332
1882,4,-0.8800000000000017
1882,5,-0.8199999999999985
1882,6,-1.6066666666666638
1882,7,-3.006666666666666
1882,8,-3.0133333333333336
1882,9,-2.966666666666665
1882,10,-0.8899999999999997
1882,11,-0.006666666666667265
1882,12,0.45666666666666655
1883,1,1.0966666666666667
1883,2,0.846666666666667
1883,3,-4.826666666666667
1883,4,-1.6800000000000015
1883,5,-0.7199999999999989
1883,6,-1.5066666666666642
1883,7,-2.6066666666666656
1883,8,-1.913333333333334
1883,9,-1.5666666666666647
1883,10,-2.9899999999999993
1883,11,-1.1066666666666671
1883,12,-2.8433333333333337
1884,1,1.0966666666666667
1884,2,1.446666666666667
1884,3,0.07333333333333303
1884,4,-1.5800000000000014
1884,5,0.3800000000000008
1884,6,-3.9066666666666645
1884,7,-0.5066666666666659
1884,8,-0.913333333333334
1884,9,-0.8666666666666636
1884,10,-3.1899999999999995
1884,11,-3.306666666666667
1884,12,-0.9433333333333336
1885,1,-4.703333333333333
1885,2,2.546666666666667
1885,3,-1.326666666666667
1885,4,0.21999999999999886
1885,5,-3.119999999999999
1885,6,0.7933333333333366
1885,7,-0.30666666666666487
1885,8,-1.8133333333333326
1885,9,-1.5666666666666647
1885,10,-3.789999999999999
1885,11,-0.3066666666666671
1885,12,-2.3433333333333337
1886,1,-2.3033333333333337
1886,2,-3.8533333333333326
1886,3,-2.9266666666666667
1886,4,0.21999999999999886
1886,5,-0.6199999999999992
1886,6,-2.606666666666664
1886,7,-0.8066666666666649
1886,8,-1.6133333333333333
1886,9,0.533333333333335
1886,10,-0.3899999999999997
1886,11,-1.0066666666666673
1886,12,-0.8433333333333335
1887,1,-4.003333333333333
1887,2,-2.753333333333333
1887,3,-3.326666666666667
1887,4,-1.5800000000000014
1887,5,-3.419999999999999
1887,6,0.7933333333333366
1887,7,0.2933333333333348
1887,8,-1.713333333333333
1887,9,-2.266666666666664
1887,10,-5.989999999999999
1887,11,-1.1066666666666671
1887,12,-3.043333333333334
1888,1,-3.203333333333333
1888,2,-2.253333333333333
1888,3,-2.526666666666667
1888,4,-2.9800000000000013
1888,5,-0.019999999999999574
1888,6,-0.30666666666666487
1888,7,-3.306666666666665
1888,8,-2.8133333333333326
1888,9,-0.966666666666665
1888,10,-4.789999999999999
1888,11,-0.006666666666667265
1888,12,1.1566666666666665
1889,1,-3.203333333333333
1889,2,-2.8533333333333326
1889,3,-4.026666666666667
1889,4,-2.0800000000000014
1889,5,0.5800000000000001
1889,6,0.6933333333333351
1889,7,-1.7066666666666652
1889,8,-2.0133333333333336
1889,9,-2.6666666666666643
1889,10,-2.289999999999999
1889,11,-0.6066666666666671
1889,12,-5.243333333333334
1890,1,2.6966666666666668
1890,2,-4.353333333333333
1890,3,-1.5266666666666668
1890,4,-1.4800000000000013
1890,5,-0.21999999999999886
1890,6,-1.9066666666666645
1890,7,-3.1066666666666656
1890,8,-2.0133333333333336
1890,9,-1.5666666666666647
1890,10,-3.6899999999999995
1890,11,-2.306666666666667
1890,12,-6.543333333333334
1891,1,-7.003333333333333
1891,2,-3.6533333333333324
1891,3,-1.426666666666667
1891,4,-3.6800000000000015
1891,5,-1.3199999999999985
1891,6,-0.5066666666666642
1891,7,-2.4066666666666663
1891,8,-2.5133333333333336
1891,9,-0.7666666666666639
1891,10,-0.589999999999999
1891,11,-1.7066666666666672
1891,12,-0.5433333333333334
1892,1,-1.9033333333333333
1892,2,0.546666666666667
1892,3,-4.426666666666667
1892,4,-1.1800000000000015
1892,5,-1.0199999999999996
1892,6,-0.4066666666666645
1892,7,-1.7066666666666652
1892,8,-0.11333333333333329
1892,9,-0.466666666666665
1892,10,-1.9899999999999993
1892,11,0.8933333333333326
1892,12,-3.9433333333333334
1893,1,-6.603333333333333
1893,2,0.846666666666667
1893,3,-0.42666666666666697
1893,4,2.1199999999999983
1893,5,-1.5199999999999996
1893,6,-0.7066666666666634
1893,7,-1.6066666666666656
1893,8,-0.5133333333333336
1893,9,-0.966666666666665
1893,10,-0.08999999999999897
1893,11,-2.5066666666666673
1893,12,-2.3433333333333337
1894,1,-2.9033333333333333
1894,2,-0.6533333333333331
1894,3,-0.726666666666667
1894,4,1.0199999999999987
1894,5,-1.92
1894,6,-1.3066666666666649
1894,7,-0.7066666666666652
