year,month,value
1871,1,-4.9399999999999995
1871,2,-1.1866666666666663
1871,3,-1.6266666666666687
1871,4,0.036666666666668846
1871,5,-1.1700000000000035
1871,6,-3.9166666666666643
1871,7,-0.706666666666667
1871,8,-1.1033333333333388
1871,9,1.5633333333333326
1871,10,-2.483333333333336
1871,11,-4.1466666666666665
1871,12,-7.626666666666667
1872,1,-0.8399999999999996
1872,2,-0.9866666666666664
1872,3,-0.6266666666666687
1872,4,-0.46333333333333115
1872,5,-2.070000000000004
1872,6,-1.3166666666666664
1872,7,-0.8066666666666684
1872,8,-2.103333333333339
1872,9,0.5633333333333326
1872,10,-1.5833333333333357
1872,11,1.6533333333333333
1872,12,0.6733333333333333
1873,1,0.26000000000000045
1873,2,-1.3866666666666663
1873,3,0.5733333333333315
1873,4,-1.9633333333333303
1873,5,-2.3700000000000028
1873,6,-0.716666666666665
1873,7,0.6933333333333316
1873,8,0.2966666666666633
1873,9,-1.2366666666666681
1873,10,-0.783333333333335
1873,11,-0.4466666666666672
1873,12,-2.6266666666666665
1874,1,-1.8399999999999996
1874,2,-1.4866666666666664
1874,3,-1.5266666666666682
1874,4,0.7366666666666699
1874,5,-3.970000000000004
1874,6,-0.31666666666666643
1874,7,0.5933333333333337
1874,8,-2.903333333333336
1874,9,0.16333333333333222
1874,10,-1.8833333333333364
1874,11,-2.3466666666666667
1874,12,-3.326666666666666
1875,1,0.6600000000000006
1875,2,-3.4866666666666664
1875,3,-2.3266666666666684
1875,4,-0.9633333333333312
1875,5,1.3299999999999965
1875,6,-0.01666666666666572
1875,7,-3.206666666666667
1875,8,-0.7033333333333367
1875,9,0.7633333333333319
1875,10,-2.283333333333335
1875,11,-0.6466666666666665
1875,12,-3.5266666666666664
1876,1,-3.1399999999999997
1876,2,0.5133333333333336
1876,3,-1.1266666666666687
1876,4,-1.26333333333333
1876,5,-3.570000000000004
1876,6,-1.3166666666666664
1876,7,-0.4066666666666663
1876,8,-0.6033333333333388
1876,9,-2.1366666666666667
1876,10,0.5166666666666639
1876,11,-2.246666666666667
1876,12,2.273333333333334
1877,1,1.9600000000000004
1877,2,1.4133333333333336
1877,3,-2.2266666666666683
1877,4,-1.26333333333333
1877,5,-3.070000000000004
1877,6,1.283333333333335
1877,7,-2.0066666666666677
1877,8,-0.403333333333336
1877,9,-2.536666666666667
1877,10,-3.783333333333336
1877,11,0.753333333333333
1877,12,-0.32666666666666666
1878,1,-2.5399999999999996
1878,2,-1.0866666666666664
1878,3,-2.2266666666666683
1878,4,-0.9633333333333312
1878,5,-0.07000000000000384
1878,6,-1.6166666666666636
1878,7,-2.0066666666666677
1878,8,-1.7033333333333367
1878,9,-1.1366666666666667
1878,10,-1.0833333333333357
1878,11,-2.4466666666666668
1878,12,-4.226666666666667
1879,1,-1.9399999999999995
1879,2,0.41333333333333355
1879,3,-0.6266666666666687
1879,4,-3.063333333333331
1879,5,-4.770000000000003
1879,6,-0.6166666666666636
1879,7,-4.106666666666666
1879,8,-0.3033333333333381
1879,9,-1.036666666666667
1879,10,-2.983333333333336
1879,11,-3.746666666666667
1879,12,-8.726666666666667
1880,1,-5.539999999999999
1880,2,-0.9866666666666664
1880,3,0.673333333333332
1880,4,-0.16333333333333044
1880,5,-2.1700000000000035
1880,6,-3.1166666666666654
1880,7,-0.4066666666666663
1880,8,-2.403333333333336
1880,9,-0.4366666666666674
1880,10,-0.18333333333333535
1880,11,0.45333333333333314
1880,12,2.8733333333333335
1881,1,-3.2399999999999993
1881,2,0.6133333333333337
1881,3,0.27333333333333165
1881,4,-0.8633333333333297
1881,5,-1.6700000000000035
1881,6,-1.1166666666666636
1881,7,1.3933333333333344
1881,8,-0.7033333333333367
1881,9,-2.836666666666668
1881,10,-4.583333333333336
1881,11,0.05333333333333279
1881,12,-2.2266666666666666
1882,1,-1.7399999999999995
1882,2,-1.0866666666666664
1882,3,0.27333333333333165
1882,4,-0.9633333333333312
1882,5,-1.1700000000000035
1882,6,-2.3166666666666647
1882,7,-3.6066666666666656
