year,month,value
1871,1,-4.716666666666667
1871,2,-0.24999999999999978
1871,3,-0.2999999999999998
1871,4,0.1033333333333335
1871,5,0.05666666666666842
1871,6,-3.0766666666666627
1871,7,-0.7633333333333319
1871,8,-0.11000000000000298
1871,9,0.783333333333335
1871,10,-2.483333333333336
1871,11,-2.926666666666667
1871,12,-6.88
1872,1,-0.11666666666666659
1872,2,0.4500000000000002
1872,3,0.40000000000000036
1872,4,0.7033333333333331
1872,5,-1.343333333333332
1872,6,-1.1766666666666623
1872,7,-0.26333333333333186
1872,8,-2.4100000000000037
1872,9,-0.11666666666666536
1872,10,-0.3833333333333364
1872,11,0.4733333333333327
1872,12,1.8199999999999998
1873,1,-0.016666666666666607
1873,2,-2.75
1873,3,1.4000000000000004
1873,4,-1.4966666666666661
1873,5,-1.7433333333333323
1873,6,-0.1766666666666623
1873,7,0.6366666666666667
1873,8,0.7899999999999956
1873,9,-0.9166666666666661
1873,10,0.016666666666663943
1873,11,0.37333333333333263
1873,12,-2.48
1874,1,-0.7166666666666666
1874,2,-0.9499999999999998
1874,3,-0.7000000000000002
1874,4,1.8033333333333328
1874,5,-2.543333333333333
1874,6,1.023333333333337
1874,7,1.4366666666666674
1874,8,-1.610000000000003
1874,9,0.9833333333333343
1874,10,-0.0833333333333357
1874,11,-2.326666666666667
1874,12,-4.48
1875,1,-0.5166666666666666
1875,2,-4.15
1875,3,-1.4
1875,4,0.20333333333333314
1875,5,2.156666666666668
1875,6,0.6233333333333384
1875,7,-2.263333333333332
1875,8,0.18999999999999773
1875,9,0.9833333333333343
1875,10,-1.483333333333336
1875,11,-1.7266666666666672
1875,12,-3.7800000000000002
1876,1,-0.6166666666666665
1876,2,-0.04999999999999982
1876,3,-1.5
1876,4,-0.1966666666666672
1876,5,-2.4433333333333316
1876,6,-0.1766666666666623
1876,7,0.336666666666666
1876,8,0.389999999999997
1876,9,-2.3166666666666647
1876,10,1.4166666666666643
1876,11,-1.5266666666666673
1876,12,2.32
1877,1,2.0833333333333335
1877,2,1.1500000000000004
1877,3,-2.0
1877,4,-0.29666666666666686
1877,5,-2.1433333333333326
1877,6,2.3233333333333377
1877,7,-1.663333333333334
1877,8,0.5899999999999963
1877,9,-2.1166666666666654
1877,10,-2.8833333333333364
1877,11,0.1733333333333329
1877,12,-1.08
1878,1,-3.416666666666667
1878,2,-1.2499999999999998
1878,3,-1.5
1878,4,-0.6966666666666672
1878,5,0.8566666666666674
1878,6,-0.976666666666663
1878,7,-1.0633333333333326
1878,8,-1.0100000000000051
1878,9,-0.8166666666666647
1878,10,-0.3833333333333364
1878,11,-1.7266666666666672
1878,12,-2.98
1879,1,-0.9166666666666665
1879,2,-0.1499999999999999
1879,3,0.2999999999999998
1879,4,-1.9966666666666661
1879,5,-3.9433333333333316
1879,6,0.3233333333333377
1879,7,-3.5633333333333326
1879,8,0.5899999999999963
1879,9,-0.6166666666666654
1879,10,-2.6833333333333362
1879,11,-2.426666666666667
1879,12,-7.38
1880,1,-4.416666666666667
1880,2,0.15000000000000013
1880,3,2.3
1880,4,0.7033333333333331
