year,month,value
1871,1,-5.4366666666666665
1871,2,-0.4033333333333332
1871,3,-1.1499999999999995
1871,4,-0.3066666666666684
1871,5,-1.6533333333333342
1871,6,-3.7633333333333336
1871,7,-0.456666666666667
1871,8,-0.5066666666666677
1871,9,1.1800000000000015
1871,10,-3.6700000000000026
1871,11,-4.570000000000001
1871,12,-8.616666666666667
1872,1,-0.8366666666666667
1872,2,-1.0033333333333332
1872,3,0.05000000000000071
1872,4,0.19333333333333158
1872,5,-1.9533333333333331
1872,6,-1.2633333333333336
1872,7,-0.05666666666666842
1872,8,-2.5066666666666677
1872,9,-0.019999999999999574
1872,10,-0.5700000000000021
1872,11,1.2299999999999986
1872,12,0.7833333333333328
1873,1,-0.03666666666666668
1873,2,-1.4033333333333333
1873,3,0.7500000000000009
1873,4,-2.3066666666666684
1873,5,-3.453333333333333
1873,6,-0.163333333333334
1873,7,1.1433333333333309
1873,8,0.4933333333333323
1873,9,-1.3199999999999985
1873,10,-0.7700000000000031
1873,11,-0.870000000000001
1873,12,-2.4166666666666674
1874,1,-1.3366666666666667
1874,2,-1.8033333333333332
1874,3,-1.649999999999999
1874,4,0.9933333333333323
1874,5,-4.253333333333334
1874,6,0.13666666666666671
1874,7,1.7433333333333323
1874,8,-2.406666666666668
1874,9,0.9800000000000004
1874,10,-1.9700000000000024
1874,11,-4.070000000000001
1874,12,-3.5166666666666675
1875,1,0.7633333333333334
1875,2,-5.003333333333334
1875,3,-3.549999999999999
1875,4,-0.40666666666666806
1875,5,1.3466666666666658
1875,6,0.13666666666666671
1875,7,-2.15666666666667
1875,8,0.793333333333333
1875,9,0.7800000000000011
1875,10,-2.570000000000003
1875,11,-1.1700000000000008
1875,12,-4.616666666666667
1876,1,-3.536666666666667
1876,2,0.19666666666666677
1876,3,-1.3499999999999992
1876,4,-0.8066666666666684
1876,5,-4.153333333333334
1876,6,-0.8633333333333333
1876,7,0.34333333333333016
1876,8,0.09333333333333371
1876,9,-1.6199999999999992
